Year;Month;Day;Hour;Minute;Speed;Direction
2019;06;02;02;00;9.45;342.26
2019;06;02;03;00;9.50;335.38
2019;06;02;04;00;8.53;332.35
2019;06;02;05;00;7.90;335.77
2019;06;02;06;00;6.44;333.43
2019;06;02;07;00;4.61;321.34
2019;06;02;08;00;1.48;284.04
2019;06;02;09;00;4.33;265.24
2019;06;02;10;00;8.76;260.54
2019;06;02;11;00;11.79;257.66
2019;06;02;12;00;13.10;254.05
2019;06;02;13;00;13.90;253.44
2019;06;02;14;00;15.91;232.35
2019;06;02;15;00;15.78;235.22
2019;06;02;16;00;14.39;238.30
2019;06;02;17;00;13.71;240.07
2019;06;02;18;00;12.78;237.65
2019;06;02;19;00;11.18;236.82
2019;06;02;20;00;8.21;232.13
2019;06;02;21;00;5.40;233.13
2019;06;02;22;00;3.89;213.69
2019;06;02;23;00;4.10;195.26
2019;06;03;00;00;3.26;173.66
2019;06;03;01;00;3.76;163.30
2019;06;03;02;00;5.01;158.96
2019;06;03;03;00;5.96;154.98
2019;06;03;04;00;7.10;149.53
2019;06;03;05;00;8.71;141.71
2019;06;03;06;00;10.80;143.13
2019;06;03;07;00;12.39;144.46
2019;06;03;08;00;12.10;149.62
2019;06;03;09;00;10.44;180.00
2019;06;03;10;00;11.09;193.13
2019;06;03;11;00;13.20;191.00
2019;06;03;12;00;14.62;189.93
2019;06;03;13;00;15.94;186.48
2019;06;03;14;00;16.58;177.51
2019;06;03;15;00;15.88;183.90
2019;06;03;16;00;16.52;191.31
2019;06;03;17;00;16.43;208.81
2019;06;03;18;00;13.75;225.00
2019;06;03;19;00;10.74;230.44
2019;06;03;20;00;8.44;230.19
2019;06;03;21;00;5.80;209.74
2019;06;03;22;00;6.49;183.18
2019;06;03;23;00;9.39;175.60
2019;06;04;00;00;10.48;164.05
2019;06;04;01;00;10.69;147.38
2019;06;04;02;00;10.18;135.00
2019;06;04;03;00;10.74;129.56
2019;06;04;04;00;11.98;122.74
2019;06;04;05;00;14.02;119.20
2019;06;04;06;00;15.81;120.07
2019;06;04;07;00;18.71;120.02
2019;06;04;08;00;17.10;120.34
2019;06;04;09;00;13.58;147.99
2019;06;04;10;00;15.26;160.71
2019;06;04;11;00;16.42;164.74
2019;06;04;12;00;17.31;163.07
2019;06;04;13;00;19.04;164.65
2019;06;04;14;00;22.03;168.69
2019;06;04;15;00;20.77;171.03
2019;06;04;16;00;20.83;161.88
2019;06;04;17;00;20.62;155.22
2019;06;04;18;00;21.12;150.38
2019;06;04;19;00;21.47;145.24
2019;06;04;20;00;20.37;136.43
2019;06;04;21;00;22.42;132.40
2019;06;04;22;00;25.74;132.17
2019;06;04;23;00;26.79;131.19
2019;06;05;00;00;27.84;130.28
2019;06;05;01;00;27.80;131.33
2019;06;05;02;00;28.04;131.88
2019;06;05;03;00;23.22;119.74
2019;06;05;04;00;26.37;128.90
2019;06;05;05;00;28.52;133.98
2019;06;05;06;00;31.36;131.74
2019;06;05;07;00;32.27;128.66
2019;06;05;08;00;28.45;128.32
2019;06;05;09;00;30.89;130.75
2019;06;05;10;00;32.86;132.78
2019;06;05;11;00;36.66;134.20
2019;06;05;12;00;40.48;136.08
2019;06;05;13;00;44.13;138.64
2019;06;05;14;00;47.15;137.79
2019;06;05;15;00;42.17;148.62
2019;06;05;16;00;44.45;144.89
2019;06;05;17;00;43.33;146.18
2019;06;05;18;00;41.49;149.21
2019;06;05;19;00;32.40;165.19
2019;06;05;20;00;23.32;171.12
2019;06;05;21;00;11.77;203.43
2019;06;05;22;00;5.76;270.00
2019;06;05;23;00;8.67;318.37
2019;06;06;00;00;12.03;308.93
2019;06;06;01;00;18.28;302.12
2019;06;06;02;00;22.91;315.00
2019;06;06;03;00;19.80;297.03
2019;06;06;04;00;19.09;314.24
2019;06;06;05;00;18.67;326.00
2019;06;06;06;00;15.73;344.05
2019;06;06;07;00;9.69;344.93
2019;06;06;08;00;9.50;307.30
2019;06;06;09;00;13.04;297.98
2019;06;06;10;00;14.51;293.39
2019;06;06;11;00;17.65;281.77
2019;06;06;12;00;19.56;276.34
2019;06;06;13;00;20.88;269.01
2019;06;06;14;00;24.57;259.02
2019;06;06;15;00;25.76;254.60
